# PURPOSE: This file distributes the Kp index and ap index (one line per three-hour interval)
# LICENSE: CC BY 4.0
# SOURCE: Geomagnetic Observatory Niemegk, GFZ German Research Centre for Geosciences
# PLEASE CITE: Matzka, J., Stolle, C., Yamazaki, Y., Bronkalla, O. and Morschhauser, A., 2021. The geomagnetic Kp index 
# and derived indices of geomagnetic activity. Space Weather, https://doi.org/10.1029/2020SW002641
#
# Kp, ap and Ap
# The three-hourly equivalent planetary amplitude ap is derived from Kp and the daily equivalent planetary amplitude Ap is the daily mean of ap.
# Kp is unitless. Ap and ap are unitless and can be multiplied by 2 nT to yield the average geomagnetic disturbance at 50 degree geomagnetic latitude.
# Kp, ap and Ap were introduced by Bartels (1949, 1957) and are produced by Geomagnetic Observatory Niemegk, GFZ German Research Centre for Geosciences.
# Described in: Matzka et al. (2021), see reference above.
# Data publication: Matzka, J., Bronkalla, O., Tornow, K., Elger, K. and Stolle, C., 2021. Geomagnetic Kp index. V. 1.0. GFZ Data Services, 
# https://doi.org/10.5880/Kp.0001
#
# Short file description (for a detailed file description, see Kp_ap_Ap_SN_F107_format.txt):
# 30 header lines, all starting with #
# ASCII, blank separated and fixed length, missing data indicated by -1.000 for Kp and -1 for ap
# YYYY MM DD is date of UT day, hh.h is starting time in hours of interval for which Kp and ap are given
# hh._m is mid time in hours of interval for which Kp and ap are given 
# days is days since 1932-01-01 00:00 UT to start of interval, days_m is days since 1932-01-01 00:00 UT to mid of interval
# Kp, ap
# D indicates if the Kp and ap values are definitive (D = 1) or preliminary (D=0)
#
#
#
#
# The format for each line is (i stands for integer, f for float):
#iii ii ii ff.f ff.ff fffff.fffff fffff.fffff ff.fff iiii i
# The parameters in each line are:
#YYY MM DD hh.h hh._m        days      days_m     Kp   ap D
1940 01 09 06.0 07.50  2930.25000  2930.31250  1.333    5 1
1940 01 09 09.0 10.50  2930.37500  2930.43750  1.667    6 1
1940 01 09 12.0 13.50  2930.50000  2930.56250  2.667   12 1
1940 01 09 15.0 16.50  2930.62500  2930.68750  3.333   18 1
1940 01 09 18.0 19.50  2930.75000  2930.81250  4.667   39 1
1940 01 09 21.0 22.50  2930.87500  2930.93750  2.333    9 1
1940 01 10 00.0 01.50  2931.00000  2931.06250  2.000    7 1
1940 01 10 03.0 04.50  2931.12500  2931.18750  2.333    9 1
1940 01 10 06.0 07.50  2931.25000  2931.31250  1.333    5 1
1940 01 10 09.0 10.50  2931.37500  2931.43750  2.333    9 1
1940 01 10 12.0 13.50  2931.50000  2931.56250  5.667   67 1
1940 01 10 15.0 16.50  2931.62500  2931.68750  5.333   56 1
1940 01 10 18.0 19.50  2931.75000  2931.81250  4.667   39 1
1940 01 10 21.0 22.50  2931.87500  2931.93750  4.000   27 1
1940 01 11 00.0 01.50  2932.00000  2932.06250  3.000   15 1
1940 01 11 03.0 04.50  2932.12500  2932.18750  4.000   27 1
1940 01 11 06.0 07.50  2932.25000  2932.31250  3.667   22 1
1940 01 11 09.0 10.50  2932.37500  2932.43750  3.667   22 1
1940 01 11 12.0 13.50  2932.50000  2932.56250  2.667   12 1
1940 01 11 15.0 16.50  2932.62500  2932.68750  3.000   15 1
1940 01 11 18.0 19.50  2932.75000  2932.81250  4.667   39 1
1940 01 11 21.0 22.50  2932.87500  2932.93750  4.333   32 1
1940 01 12 00.0 01.50  2933.00000  2933.06250  3.333   18 1
1940 01 12 03.0 04.50  2933.12500  2933.18750  4.333   32 1
1940 01 12 06.0 07.50  2933.25000  2933.31250  5.000   48 1
1940 01 12 09.0 10.50  2933.37500  2933.43750  3.000   15 1
1940 01 12 12.0 13.50  2933.50000  2933.56250  3.667   22 1
1940 01 12 15.0 16.50  2933.62500  2933.68750  3.667   22 1
1940 01 12 18.0 19.50  2933.75000  2933.81250  3.667   22 1
1940 01 12 21.0 22.50  2933.87500  2933.93750  4.667   39 1
1940 01 13 00.0 01.50  2934.00000  2934.06250  2.333    9 1
1940 01 13 03.0 04.50  2934.12500  2934.18750  3.000   15 1
1940 01 13 06.0 07.50  2934.25000  2934.31250  2.667   12 1
1940 01 13 09.0 10.50  2934.37500  2934.43750  2.000    7 1
1940 01 13 12.0 13.50  2934.50000  2934.56250  1.667    6 1
1940 01 13 15.0 16.50  2934.62500  2934.68750  1.000    4 1
1940 01 13 18.0 19.50  2934.75000  2934.81250  1.000    4 1
1940 01 13 21.0 22.50  2934.87500  2934.93750  0.333    2 1
1940 01 14 00.0 01.50  2935.00000  2935.06250  0.000    0 1
1940 01 14 03.0 04.50  2935.12500  2935.18750  0.000    0 1
1940 01 14 06.0 07.50  2935.25000  2935.31250  0.333    2 1
1940 01 14 09.0 10.50  2935.37500  2935.43750  1.667    6 1
1940 01 14 12.0 13.50  2935.50000  2935.56250  0.667    3 1
1940 01 14 15.0 16.50  2935.62500  2935.68750  0.667    3 1
1940 01 14 18.0 19.50  2935.75000  2935.81250  1.333    5 1
1940 01 14 21.0 22.50  2935.87500  2935.93750  1.667    6 1
1940 01 15 00.0 01.50  2936.00000  2936.06250  3.333   18 1
1940 01 15 03.0 04.50  2936.12500  2936.18750  2.667   12 1
1940 01 15 06.0 07.50  2936.25000  2936.31250  0.667    3 1
1940 01 15 09.0 10.50  2936.37500  2936.43750  1.333    5 1
1940 01 15 12.0 13.50  2936.50000  2936.56250  1.333    5 1
1940 01 15 15.0 16.50  2936.62500  2936.68750  0.667    3 1
1940 01 15 18.0 19.50  2936.75000  2936.81250  0.667    3 1
1940 01 15 21.0 22.50  2936.87500  2936.93750  1.333    5 1
1940 01 16 00.0 01.50  2937.00000  2937.06250  1.667    6 1
1940 01 16 03.0 04.50  2937.12500  2937.18750  2.000    7 1
1940 01 16 06.0 07.50  2937.25000  2937.31250  3.333   18 1
1940 01 16 09.0 10.50  2937.37500  2937.43750  2.333    9 1
1940 01 16 12.0 13.50  2937.50000  2937.56250  3.333   18 1
1940 01 16 15.0 16.50  2937.62500  2937.68750  3.000   15 1
1940 01 16 18.0 19.50  2937.75000  2937.81250  3.333   18 1
1940 01 16 21.0 22.50  2937.87500  2937.93750  2.333    9 1
1940 01 17 00.0 01.50  2938.00000  2938.06250  3.333   18 1
1940 01 17 03.0 04.50  2938.12500  2938.18750  3.333   18 1
1940 01 17 06.0 07.50  2938.25000  2938.31250  3.333   18 1
1940 01 17 09.0 10.50  2938.37500  2938.43750  2.000    7 1
1940 01 17 12.0 13.50  2938.50000  2938.56250  5.000   48 1
1940 01 17 15.0 16.50  2938.62500  2938.68750  3.667   22 1
1940 01 17 18.0 19.50  2938.75000  2938.81250  3.667   22 1
1940 01 17 21.0 22.50  2938.87500  2938.93750  3.333   18 1
