# PURPOSE: This file distributes the Kp index and ap index (one line per three-hour interval)
# LICENSE: CC BY 4.0
# SOURCE: Geomagnetic Observatory Niemegk, GFZ German Research Centre for Geosciences
# PLEASE CITE: Matzka, J., Stolle, C., Yamazaki, Y., Bronkalla, O. and Morschhauser, A., 2021. The geomagnetic Kp index 
# and derived indices of geomagnetic activity. Space Weather, https://doi.org/10.1029/2020SW002641
#
# Kp, ap and Ap
# The three-hourly equivalent planetary amplitude ap is derived from Kp and the daily equivalent planetary amplitude Ap is the daily mean of ap.
# Kp is unitless. Ap and ap are unitless and can be multiplied by 2 nT to yield the average geomagnetic disturbance at 50 degree geomagnetic latitude.
# Kp, ap and Ap were introduced by Bartels (1949, 1957) and are produced by Geomagnetic Observatory Niemegk, GFZ German Research Centre for Geosciences.
# Described in: Matzka et al. (2021), see reference above.
# Data publication: Matzka, J., Bronkalla, O., Tornow, K., Elger, K. and Stolle, C., 2021. Geomagnetic Kp index. V. 1.0. GFZ Data Services, 
# https://doi.org/10.5880/Kp.0001
#
# Short file description (for a detailed file description, see Kp_ap_Ap_SN_F107_format.txt):
# 30 header lines, all starting with #
# ASCII, blank separated and fixed length, missing data indicated by -1.000 for Kp and -1 for ap
# YYYY MM DD is date of UT day, hh.h is starting time in hours of interval for which Kp and ap are given
# hh._m is mid time in hours of interval for which Kp and ap are given 
# days is days since 1932-01-01 00:00 UT to start of interval, days_m is days since 1932-01-01 00:00 UT to mid of interval
# Kp, ap
# D indicates if the Kp and ap values are definitive (D = 1) or preliminary (D=0)
#
#
#
#
# The format for each line is (i stands for integer, f for float):
#iii ii ii ff.f ff.ff fffff.fffff fffff.fffff ff.fff iiii i
# The parameters in each line are:
#YYY MM DD hh.h hh._m        days      days_m     Kp   ap D
1940 02 07 06.0 07.50  2959.25000  2959.31250  2.000    7 1
1940 02 07 09.0 10.50  2959.37500  2959.43750  2.000    7 1
1940 02 07 12.0 13.50  2959.50000  2959.56250  3.333   18 1
1940 02 07 15.0 16.50  2959.62500  2959.68750  2.333    9 1
1940 02 07 18.0 19.50  2959.75000  2959.81250  2.333    9 1
1940 02 07 21.0 22.50  2959.87500  2959.93750  2.000    7 1
1940 02 08 00.0 01.50  2960.00000  2960.06250  3.000   15 1
1940 02 08 03.0 04.50  2960.12500  2960.18750  2.667   12 1
1940 02 08 06.0 07.50  2960.25000  2960.31250  2.333    9 1
1940 02 08 09.0 10.50  2960.37500  2960.43750  2.667   12 1
1940 02 08 12.0 13.50  2960.50000  2960.56250  1.333    5 1
1940 02 08 15.0 16.50  2960.62500  2960.68750  1.667    6 1
1940 02 08 18.0 19.50  2960.75000  2960.81250  3.000   15 1
1940 02 08 21.0 22.50  2960.87500  2960.93750  2.667   12 1
1940 02 09 00.0 01.50  2961.00000  2961.06250  3.000   15 1
1940 02 09 03.0 04.50  2961.12500  2961.18750  3.667   22 1
1940 02 09 06.0 07.50  2961.25000  2961.31250  2.000    7 1
1940 02 09 09.0 10.50  2961.37500  2961.43750  1.667    6 1
1940 02 09 12.0 13.50  2961.50000  2961.56250  1.000    4 1
1940 02 09 15.0 16.50  2961.62500  2961.68750  1.667    6 1
1940 02 09 18.0 19.50  2961.75000  2961.81250  0.333    2 1
1940 02 09 21.0 22.50  2961.87500  2961.93750  2.333    9 1
1940 02 10 00.0 01.50  2962.00000  2962.06250  2.000    7 1
1940 02 10 03.0 04.50  2962.12500  2962.18750  1.667    6 1
1940 02 10 06.0 07.50  2962.25000  2962.31250  1.000    4 1
1940 02 10 09.0 10.50  2962.37500  2962.43750  0.667    3 1
1940 02 10 12.0 13.50  2962.50000  2962.56250  0.667    3 1
1940 02 10 15.0 16.50  2962.62500  2962.68750  1.667    6 1
1940 02 10 18.0 19.50  2962.75000  2962.81250  2.667   12 1
1940 02 10 21.0 22.50  2962.87500  2962.93750  2.667   12 1
1940 02 11 00.0 01.50  2963.00000  2963.06250  2.000    7 1
1940 02 11 03.0 04.50  2963.12500  2963.18750  0.667    3 1
1940 02 11 06.0 07.50  2963.25000  2963.31250  1.333    5 1
1940 02 11 09.0 10.50  2963.37500  2963.43750  2.333    9 1
1940 02 11 12.0 13.50  2963.50000  2963.56250  2.333    9 1
1940 02 11 15.0 16.50  2963.62500  2963.68750  1.333    5 1
1940 02 11 18.0 19.50  2963.75000  2963.81250  3.000   15 1
1940 02 11 21.0 22.50  2963.87500  2963.93750  3.333   18 1
1940 02 12 00.0 01.50  2964.00000  2964.06250  3.333   18 1
1940 02 12 03.0 04.50  2964.12500  2964.18750  4.000   27 1
1940 02 12 06.0 07.50  2964.25000  2964.31250  2.333    9 1
1940 02 12 09.0 10.50  2964.37500  2964.43750  2.333    9 1
1940 02 12 12.0 13.50  2964.50000  2964.56250  3.667   22 1
1940 02 12 15.0 16.50  2964.62500  2964.68750  4.000   27 1
1940 02 12 18.0 19.50  2964.75000  2964.81250  2.333    9 1
1940 02 12 21.0 22.50  2964.87500  2964.93750  1.667    6 1
1940 02 13 00.0 01.50  2965.00000  2965.06250  2.667   12 1
1940 02 13 03.0 04.50  2965.12500  2965.18750  2.000    7 1
1940 02 13 06.0 07.50  2965.25000  2965.31250  2.000    7 1
1940 02 13 09.0 10.50  2965.37500  2965.43750  1.333    5 1
1940 02 13 12.0 13.50  2965.50000  2965.56250  3.000   15 1
1940 02 13 15.0 16.50  2965.62500  2965.68750  1.333    5 1
1940 02 13 18.0 19.50  2965.75000  2965.81250  3.333   18 1
1940 02 13 21.0 22.50  2965.87500  2965.93750  2.333    9 1
1940 02 14 00.0 01.50  2966.00000  2966.06250  2.000    7 1
1940 02 14 03.0 04.50  2966.12500  2966.18750  1.667    6 1
1940 02 14 06.0 07.50  2966.25000  2966.31250  1.000    4 1
1940 02 14 09.0 10.50  2966.37500  2966.43750  2.667   12 1
1940 02 14 12.0 13.50  2966.50000  2966.56250  2.000    7 1
1940 02 14 15.0 16.50  2966.62500  2966.68750  0.333    2 1
1940 02 14 18.0 19.50  2966.75000  2966.81250  0.667    3 1
1940 02 14 21.0 22.50  2966.87500  2966.93750  1.333    5 1
1940 02 15 00.0 01.50  2967.00000  2967.06250  2.667   12 1
1940 02 15 03.0 04.50  2967.12500  2967.18750  1.000    4 1
1940 02 15 06.0 07.50  2967.25000  2967.31250  2.000    7 1
1940 02 15 09.0 10.50  2967.37500  2967.43750  3.000   15 1
1940 02 15 12.0 13.50  2967.50000  2967.56250  3.000   15 1
1940 02 15 15.0 16.50  2967.62500  2967.68750  1.000    4 1
1940 02 15 18.0 19.50  2967.75000  2967.81250  1.667    6 1
1940 02 15 21.0 22.50  2967.87500  2967.93750  1.000    4 1
1940 02 16 00.0 01.50  2968.00000  2968.06250  2.000    7 1
1940 02 16 03.0 04.50  2968.12500  2968.18750  2.000    7 1
1940 02 16 06.0 07.50  2968.25000  2968.31250  1.333    5 1
1940 02 16 09.0 10.50  2968.37500  2968.43750  2.333    9 1
1940 02 16 12.0 13.50  2968.50000  2968.56250  1.333    5 1
1940 02 16 15.0 16.50  2968.62500  2968.68750  2.667   12 1
1940 02 16 18.0 19.50  2968.75000  2968.81250  2.333    9 1
1940 02 16 21.0 22.50  2968.87500  2968.93750  2.000    7 1
1940 02 17 00.0 01.50  2969.00000  2969.06250  0.333    2 1
1940 02 17 03.0 04.50  2969.12500  2969.18750  1.000    4 1
1940 02 17 06.0 07.50  2969.25000  2969.31250  1.667    6 1
1940 02 17 09.0 10.50  2969.37500  2969.43750  2.333    9 1
1940 02 17 12.0 13.50  2969.50000  2969.56250  1.667    6 1
1940 02 17 15.0 16.50  2969.62500  2969.68750  2.000    7 1
1940 02 17 18.0 19.50  2969.75000  2969.81250  0.667    3 1
1940 02 17 21.0 22.50  2969.87500  2969.93750  0.333    2 1
1940 02 18 00.0 01.50  2970.00000  2970.06250  0.000    0 1
1940 02 18 03.0 04.50  2970.12500  2970.18750  0.667    3 1
1940 02 18 06.0 07.50  2970.25000  2970.31250  0.667    3 1
1940 02 18 09.0 10.50  2970.37500  2970.43750  0.333    2 1
1940 02 18 12.0 13.50  2970.50000  2970.56250  0.000    0 1
1940 02 18 15.0 16.50  2970.62500  2970.68750  0.667    3 1
1940 02 18 18.0 19.50  2970.75000  2970.81250  1.000    4 1
1940 02 18 21.0 22.50  2970.87500  2970.93750  0.333    2 1
1940 02 19 00.0 01.50  2971.00000  2971.06250  0.333    2 1
1940 02 19 03.0 04.50  2971.12500  2971.18750  0.333    2 1
1940 02 19 06.0 07.50  2971.25000  2971.31250  0.000    0 1
1940 02 19 09.0 10.50  2971.37500  2971.43750  1.000    4 1
1940 02 19 12.0 13.50  2971.50000  2971.56250  0.333    2 1
1940 02 19 15.0 16.50  2971.62500  2971.68750  0.667    3 1
1940 02 19 18.0 19.50  2971.75000  2971.81250  0.667    3 1
1940 02 19 21.0 22.50  2971.87500  2971.93750  1.333    5 1
1940 02 20 00.0 01.50  2972.00000  2972.06250  5.000   48 1
1940 02 20 03.0 04.50  2972.12500  2972.18750  4.333   32 1
1940 02 20 06.0 07.50  2972.25000  2972.31250  3.667   22 1
1940 02 20 09.0 10.50  2972.37500  2972.43750  2.000    7 1
1940 02 20 12.0 13.50  2972.50000  2972.56250  2.667   12 1
1940 02 20 15.0 16.50  2972.62500  2972.68750  3.000   15 1
1940 02 20 18.0 19.50  2972.75000  2972.81250  3.333   18 1
1940 02 20 21.0 22.50  2972.87500  2972.93750  2.667   12 1
1940 02 21 00.0 01.50  2973.00000  2973.06250  4.333   32 1
1940 02 21 03.0 04.50  2973.12500  2973.18750  4.000   27 1
1940 02 21 06.0 07.50  2973.25000  2973.31250  2.667   12 1
1940 02 21 09.0 10.50  2973.37500  2973.43750  3.000   15 1
1940 02 21 12.0 13.50  2973.50000  2973.56250  3.667   22 1
1940 02 21 15.0 16.50  2973.62500  2973.68750  3.667   22 1
1940 02 21 18.0 19.50  2973.75000  2973.81250  1.667    6 1
1940 02 21 21.0 22.50  2973.87500  2973.93750  1.667    6 1
1940 02 22 00.0 01.50  2974.00000  2974.06250  3.333   18 1
1940 02 22 03.0 04.50  2974.12500  2974.18750  3.333   18 1
1940 02 22 06.0 07.50  2974.25000  2974.31250  4.000   27 1
1940 02 22 09.0 10.50  2974.37500  2974.43750  2.333    9 1
1940 02 22 12.0 13.50  2974.50000  2974.56250  2.333    9 1
1940 02 22 15.0 16.50  2974.62500  2974.68750  2.333    9 1
1940 02 22 18.0 19.50  2974.75000  2974.81250  1.667    6 1
1940 02 22 21.0 22.50  2974.87500  2974.93750  2.333    9 1
1940 02 23 00.0 01.50  2975.00000  2975.06250  2.333    9 1
1940 02 23 03.0 04.50  2975.12500  2975.18750  3.000   15 1
1940 02 23 06.0 07.50  2975.25000  2975.31250  2.333    9 1
1940 02 23 09.0 10.50  2975.37500  2975.43750  1.333    5 1
1940 02 23 12.0 13.50  2975.50000  2975.56250  1.667    6 1
1940 02 23 15.0 16.50  2975.62500  2975.68750  1.000    4 1
1940 02 23 18.0 19.50  2975.75000  2975.81250  3.000   15 1
1940 02 23 21.0 22.50  2975.87500  2975.93750  3.667   22 1
1940 02 24 00.0 01.50  2976.00000  2976.06250  4.333   32 1
1940 02 24 03.0 04.50  2976.12500  2976.18750  3.000   15 1
1940 02 24 06.0 07.50  2976.25000  2976.31250  3.000   15 1
1940 02 24 09.0 10.50  2976.37500  2976.43750  2.667   12 1
1940 02 24 12.0 13.50  2976.50000  2976.56250  2.333    9 1
1940 02 24 15.0 16.50  2976.62500  2976.68750  2.667   12 1
1940 02 24 18.0 19.50  2976.75000  2976.81250  1.667    6 1
1940 02 24 21.0 22.50  2976.87500  2976.93750  4.333   32 1
1940 02 25 00.0 01.50  2977.00000  2977.06250  4.333   32 1
1940 02 25 03.0 04.50  2977.12500  2977.18750  4.333   32 1
1940 02 25 06.0 07.50  2977.25000  2977.31250  4.667   39 1
1940 02 25 09.0 10.50  2977.37500  2977.43750  4.667   39 1
1940 02 25 12.0 13.50  2977.50000  2977.56250  5.000   48 1
1940 02 25 15.0 16.50  2977.62500  2977.68750  5.000   48 1
1940 02 25 18.0 19.50  2977.75000  2977.81250  4.667   39 1
1940 02 25 21.0 22.50  2977.87500  2977.93750  2.667   12 1
1940 02 26 00.0 01.50  2978.00000  2978.06250  2.000    7 1
1940 02 26 03.0 04.50  2978.12500  2978.18750  1.000    4 1
1940 02 26 06.0 07.50  2978.25000  2978.31250  1.333    5 1
1940 02 26 09.0 10.50  2978.37500  2978.43750  1.000    4 1
1940 02 26 12.0 13.50  2978.50000  2978.56250  1.667    6 1
1940 02 26 15.0 16.50  2978.62500  2978.68750  2.333    9 1
1940 02 26 18.0 19.50  2978.75000  2978.81250  3.667   22 1
1940 02 26 21.0 22.50  2978.87500  2978.93750  2.333    9 1
1940 02 27 00.0 01.50  2979.00000  2979.06250  2.000    7 1
1940 02 27 03.0 04.50  2979.12500  2979.18750  3.667   22 1
1940 02 27 06.0 07.50  2979.25000  2979.31250  1.667    6 1
1940 02 27 09.0 10.50  2979.37500  2979.43750  1.333    5 1
1940 02 27 12.0 13.50  2979.50000  2979.56250  2.000    7 1
1940 02 27 15.0 16.50  2979.62500  2979.68750  0.333    2 1
1940 02 27 18.0 19.50  2979.75000  2979.81250  0.667    3 1
1940 02 27 21.0 22.50  2979.87500  2979.93750  0.667    3 1
1940 02 28 00.0 01.50  2980.00000  2980.06250  1.000    4 1
1940 02 28 03.0 04.50  2980.12500  2980.18750  2.000    7 1
1940 02 28 06.0 07.50  2980.25000  2980.31250  1.000    4 1
1940 02 28 09.0 10.50  2980.37500  2980.43750  2.000    7 1
1940 02 28 12.0 13.50  2980.50000  2980.56250  1.333    5 1
1940 02 28 15.0 16.50  2980.62500  2980.68750  1.000    4 1
1940 02 28 18.0 19.50  2980.75000  2980.81250  1.333    5 1
1940 02 28 21.0 22.50  2980.87500  2980.93750  2.667   12 1
1940 02 29 00.0 01.50  2981.00000  2981.06250  1.667    6 1
1940 02 29 03.0 04.50  2981.12500  2981.18750  2.667   12 1
1940 02 29 06.0 07.50  2981.25000  2981.31250  2.667   12 1
1940 02 29 09.0 10.50  2981.37500  2981.43750  2.667   12 1
1940 02 29 12.0 13.50  2981.50000  2981.56250  3.000   15 1
1940 02 29 15.0 16.50  2981.62500  2981.68750  3.667   22 1
1940 02 29 18.0 19.50  2981.75000  2981.81250  2.333    9 1
1940 02 29 21.0 22.50  2981.87500  2981.93750  1.333    5 1
1940 03 01 00.0 01.50  2982.00000  2982.06250  1.000    4 1
1940 03 01 03.0 04.50  2982.12500  2982.18750  3.000   15 1
1940 03 01 06.0 07.50  2982.25000  2982.31250  2.667   12 1
1940 03 01 09.0 10.50  2982.37500  2982.43750  2.000    7 1
1940 03 01 12.0 13.50  2982.50000  2982.56250  2.000    7 1
1940 03 01 15.0 16.50  2982.62500  2982.68750  1.333    5 1
1940 03 01 18.0 19.50  2982.75000  2982.81250  1.000    4 1
1940 03 01 21.0 22.50  2982.87500  2982.93750  0.333    2 1
1940 03 02 00.0 01.50  2983.00000  2983.06250  1.333    5 1
1940 03 02 03.0 04.50  2983.12500  2983.18750  1.667    6 1
1940 03 02 06.0 07.50  2983.25000  2983.31250  1.000    4 1
1940 03 02 09.0 10.50  2983.37500  2983.43750  1.333    5 1
1940 03 02 12.0 13.50  2983.50000  2983.56250  0.667    3 1
1940 03 02 15.0 16.50  2983.62500  2983.68750  1.333    5 1
1940 03 02 18.0 19.50  2983.75000  2983.81250  1.000    4 1
1940 03 02 21.0 22.50  2983.87500  2983.93750  1.333    5 1
1940 03 03 00.0 01.50  2984.00000  2984.06250  1.667    6 1
1940 03 03 03.0 04.50  2984.12500  2984.18750  2.333    9 1
1940 03 03 06.0 07.50  2984.25000  2984.31250  2.000    7 1
1940 03 03 09.0 10.50  2984.37500  2984.43750  1.667    6 1
1940 03 03 12.0 13.50  2984.50000  2984.56250  1.000    4 1
1940 03 03 15.0 16.50  2984.62500  2984.68750  1.667    6 1
1940 03 03 18.0 19.50  2984.75000  2984.81250  1.667    6 1
1940 03 03 21.0 22.50  2984.87500  2984.93750  2.667   12 1
1940 03 04 00.0 01.50  2985.00000  2985.06250  0.333    2 1
1940 03 04 03.0 04.50  2985.12500  2985.18750  0.667    3 1
1940 03 04 06.0 07.50  2985.25000  2985.31250  0.333    2 1
1940 03 04 09.0 10.50  2985.37500  2985.43750  0.333    2 1
1940 03 04 12.0 13.50  2985.50000  2985.56250  1.667    6 1
1940 03 04 15.0 16.50  2985.62500  2985.68750  0.333    2 1
1940 03 04 18.0 19.50  2985.75000  2985.81250  0.667    3 1
1940 03 04 21.0 22.50  2985.87500  2985.93750  2.333    9 1
1940 03 05 00.0 01.50  2986.00000  2986.06250  1.333    5 1
1940 03 05 03.0 04.50  2986.12500  2986.18750  1.667    6 1
1940 03 05 06.0 07.50  2986.25000  2986.31250  1.333    5 1
1940 03 05 09.0 10.50  2986.37500  2986.43750  1.333    5 1
1940 03 05 12.0 13.50  2986.50000  2986.56250  1.000    4 1
1940 03 05 15.0 16.50  2986.62500  2986.68750  0.000    0 1
1940 03 05 18.0 19.50  2986.75000  2986.81250  0.333    2 1
1940 03 05 21.0 22.50  2986.87500  2986.93750  0.333    2 1
1940 03 06 00.0 01.50  2987.00000  2987.06250  0.000    0 1
1940 03 06 03.0 04.50  2987.12500  2987.18750  0.333    2 1
1940 03 06 06.0 07.50  2987.25000  2987.31250  0.333    2 1
1940 03 06 09.0 10.50  2987.37500  2987.43750  0.333    2 1
1940 03 06 12.0 13.50  2987.50000  2987.56250  0.333    2 1
1940 03 06 15.0 16.50  2987.62500  2987.68750  1.000    4 1
1940 03 06 18.0 19.50  2987.75000  2987.81250  1.000    4 1
1940 03 06 21.0 22.50  2987.87500  2987.93750  1.333    5 1
1940 03 07 00.0 01.50  2988.00000  2988.06250  1.333    5 1
1940 03 07 03.0 04.50  2988.12500  2988.18750  2.000    7 1
1940 03 07 06.0 07.50  2988.25000  2988.31250  0.333    2 1
1940 03 07 09.0 10.50  2988.37500  2988.43750  0.667    3 1
1940 03 07 12.0 13.50  2988.50000  2988.56250  1.333    5 1
1940 03 07 15.0 16.50  2988.62500  2988.68750  0.333    2 1
1940 03 07 18.0 19.50  2988.75000  2988.81250  1.000    4 1
1940 03 07 21.0 22.50  2988.87500  2988.93750  1.333    5 1
1940 03 08 00.0 01.50  2989.00000  2989.06250  2.333    9 1
1940 03 08 03.0 04.50  2989.12500  2989.18750  2.667   12 1
1940 03 08 06.0 07.50  2989.25000  2989.31250  2.333    9 1
1940 03 08 09.0 10.50  2989.37500  2989.43750  1.333    5 1
1940 03 08 12.0 13.50  2989.50000  2989.56250  1.000    4 1
1940 03 08 15.0 16.50  2989.62500  2989.68750  0.333    2 1
1940 03 08 18.0 19.50  2989.75000  2989.81250  3.333   18 1
1940 03 08 21.0 22.50  2989.87500  2989.93750  4.333   32 1
1940 03 09 00.0 01.50  2990.00000  2990.06250  5.333   56 1
1940 03 09 03.0 04.50  2990.12500  2990.18750  6.333   94 1
1940 03 09 06.0 07.50  2990.25000  2990.31250  3.667   22 1
1940 03 09 09.0 10.50  2990.37500  2990.43750  2.333    9 1
1940 03 09 12.0 13.50  2990.50000  2990.56250  2.000    7 1
1940 03 09 15.0 16.50  2990.62500  2990.68750  2.333    9 1
1940 03 09 18.0 19.50  2990.75000  2990.81250  2.333    9 1
1940 03 09 21.0 22.50  2990.87500  2990.93750  2.000    7 1
1940 03 10 00.0 01.50  2991.00000  2991.06250  2.000    7 1
1940 03 10 03.0 04.50  2991.12500  2991.18750  2.000    7 1
1940 03 10 06.0 07.50  2991.25000  2991.31250  2.000    7 1
1940 03 10 09.0 10.50  2991.37500  2991.43750  1.667    6 1
1940 03 10 12.0 13.50  2991.50000  2991.56250  1.333    5 1
1940 03 10 15.0 16.50  2991.62500  2991.68750  1.000    4 1
1940 03 10 18.0 19.50  2991.75000  2991.81250  1.333    5 1
1940 03 10 21.0 22.50  2991.87500  2991.93750  1.000    4 1
1940 03 11 00.0 01.50  2992.00000  2992.06250  1.000    4 1
1940 03 11 03.0 04.50  2992.12500  2992.18750  0.667    3 1
1940 03 11 06.0 07.50  2992.25000  2992.31250  0.333    2 1
1940 03 11 09.0 10.50  2992.37500  2992.43750  0.333    2 1
1940 03 11 12.0 13.50  2992.50000  2992.56250  0.667    3 1
1940 03 11 15.0 16.50  2992.62500  2992.68750  1.000    4 1
1940 03 11 18.0 19.50  2992.75000  2992.81250  0.667    3 1
1940 03 11 21.0 22.50  2992.87500  2992.93750  0.333    2 1
1940 03 12 00.0 01.50  2993.00000  2993.06250  0.000    0 1
1940 03 12 03.0 04.50  2993.12500  2993.18750  0.333    2 1
1940 03 12 06.0 07.50  2993.25000  2993.31250  0.333    2 1
1940 03 12 09.0 10.50  2993.37500  2993.43750  0.667    3 1
1940 03 12 12.0 13.50  2993.50000  2993.56250  0.667    3 1
1940 03 12 15.0 16.50  2993.62500  2993.68750  3.333   18 1
1940 03 12 18.0 19.50  2993.75000  2993.81250  4.000   27 1
1940 03 12 21.0 22.50  2993.87500  2993.93750  5.000   48 1
1940 03 13 00.0 01.50  2994.00000  2994.06250  3.667   22 1
1940 03 13 03.0 04.50  2994.12500  2994.18750  3.000   15 1
1940 03 13 06.0 07.50  2994.25000  2994.31250  2.333    9 1
1940 03 13 09.0 10.50  2994.37500  2994.43750  2.333    9 1
1940 03 13 12.0 13.50  2994.50000  2994.56250  1.667    6 1
1940 03 13 15.0 16.50  2994.62500  2994.68750  2.000    7 1
1940 03 13 18.0 19.50  2994.75000  2994.81250  0.667    3 1
1940 03 13 21.0 22.50  2994.87500  2994.93750  2.333    9 1
1940 03 14 00.0 01.50  2995.00000  2995.06250  1.667    6 1
1940 03 14 03.0 04.50  2995.12500  2995.18750  3.000   15 1
1940 03 14 06.0 07.50  2995.25000  2995.31250  3.333   18 1
1940 03 14 09.0 10.50  2995.37500  2995.43750  3.000   15 1
1940 03 14 12.0 13.50  2995.50000  2995.56250  1.000    4 1
1940 03 14 15.0 16.50  2995.62500  2995.68750  1.667    6 1
1940 03 14 18.0 19.50  2995.75000  2995.81250  2.333    9 1
1940 03 14 21.0 22.50  2995.87500  2995.93750  2.000    7 1
1940 03 15 00.0 01.50  2996.00000  2996.06250  0.333    2 1
1940 03 15 03.0 04.50  2996.12500  2996.18750  0.000    0 1
1940 03 15 06.0 07.50  2996.25000  2996.31250  0.000    0 1
1940 03 15 09.0 10.50  2996.37500  2996.43750  0.667    3 1
1940 03 15 12.0 13.50  2996.50000  2996.56250  0.667    3 1
1940 03 15 15.0 16.50  2996.62500  2996.68750  0.000    0 1
1940 03 15 18.0 19.50  2996.75000  2996.81250  0.000    0 1
1940 03 15 21.0 22.50  2996.87500  2996.93750  0.000    0 1
1940 03 16 00.0 01.50  2997.00000  2997.06250  0.667    3 1
1940 03 16 03.0 04.50  2997.12500  2997.18750  0.667    3 1
1940 03 16 06.0 07.50  2997.25000  2997.31250  1.667    6 1
1940 03 16 09.0 10.50  2997.37500  2997.43750  1.000    4 1
1940 03 16 12.0 13.50  2997.50000  2997.56250  1.333    5 1
1940 03 16 15.0 16.50  2997.62500  2997.68750  0.667    3 1
1940 03 16 18.0 19.50  2997.75000  2997.81250  2.667   12 1
1940 03 16 21.0 22.50  2997.87500  2997.93750  2.000    7 1
1940 03 17 00.0 01.50  2998.00000  2998.06250  1.333    5 1
1940 03 17 03.0 04.50  2998.12500  2998.18750  0.333    2 1
1940 03 17 06.0 07.50  2998.25000  2998.31250  0.667    3 1
1940 03 17 09.0 10.50  2998.37500  2998.43750  0.667    3 1
1940 03 17 12.0 13.50  2998.50000  2998.56250  0.000    0 1
1940 03 17 15.0 16.50  2998.62500  2998.68750  0.000    0 1
1940 03 17 18.0 19.50  2998.75000  2998.81250  0.000    0 1
1940 03 17 21.0 22.50  2998.87500  2998.93750  0.000    0 1
1940 03 18 00.0 01.50  2999.00000  2999.06250  0.000    0 1
1940 03 18 03.0 04.50  2999.12500  2999.18750  0.333    2 1
1940 03 18 06.0 07.50  2999.25000  2999.31250  0.333    2 1
1940 03 18 09.0 10.50  2999.37500  2999.43750  0.000    0 1
1940 03 18 12.0 13.50  2999.50000  2999.56250  0.000    0 1
1940 03 18 15.0 16.50  2999.62500  2999.68750  0.000    0 1
1940 03 18 18.0 19.50  2999.75000  2999.81250  0.333    2 1
1940 03 18 21.0 22.50  2999.87500  2999.93750  0.333    2 1
1940 03 19 00.0 01.50  3000.00000  3000.06250  1.667    6 1
1940 03 19 03.0 04.50  3000.12500  3000.18750  2.667   12 1
1940 03 19 06.0 07.50  3000.25000  3000.31250  3.000   15 1
1940 03 19 09.0 10.50  3000.37500  3000.43750  2.667   12 1
1940 03 19 12.0 13.50  3000.50000  3000.56250  2.667   12 1
1940 03 19 15.0 16.50  3000.62500  3000.68750  4.667   39 1
1940 03 19 18.0 19.50  3000.75000  3000.81250  4.667   39 1
1940 03 19 21.0 22.50  3000.87500  3000.93750  3.667   22 1
1940 03 20 00.0 01.50  3001.00000  3001.06250  4.667   39 1
1940 03 20 03.0 04.50  3001.12500  3001.18750  4.333   32 1
1940 03 20 06.0 07.50  3001.25000  3001.31250  3.667   22 1
1940 03 20 09.0 10.50  3001.37500  3001.43750  4.000   27 1
1940 03 20 12.0 13.50  3001.50000  3001.56250  4.000   27 1
1940 03 20 15.0 16.50  3001.62500  3001.68750  3.333   18 1
1940 03 20 18.0 19.50  3001.75000  3001.81250  4.000   27 1
1940 03 20 21.0 22.50  3001.87500  3001.93750  4.000   27 1
1940 03 21 00.0 01.50  3002.00000  3002.06250  3.333   18 1
1940 03 21 03.0 04.50  3002.12500  3002.18750  3.667   22 1
1940 03 21 06.0 07.50  3002.25000  3002.31250  2.000    7 1
1940 03 21 09.0 10.50  3002.37500  3002.43750  1.333    5 1
1940 03 21 12.0 13.50  3002.50000  3002.56250  2.000    7 1
1940 03 21 15.0 16.50  3002.62500  3002.68750  2.333    9 1
1940 03 21 18.0 19.50  3002.75000  3002.81250  2.000    7 1
1940 03 21 21.0 22.50  3002.87500  3002.93750  2.333    9 1
1940 03 22 00.0 01.50  3003.00000  3003.06250  3.333   18 1
1940 03 22 03.0 04.50  3003.12500  3003.18750  2.667   12 1
1940 03 22 06.0 07.50  3003.25000  3003.31250  1.667    6 1
1940 03 22 09.0 10.50  3003.37500  3003.43750  1.333    5 1
1940 03 22 12.0 13.50  3003.50000  3003.56250  1.000    4 1
1940 03 22 15.0 16.50  3003.62500  3003.68750  1.000    4 1
1940 03 22 18.0 19.50  3003.75000  3003.81250  3.333   18 1
1940 03 22 21.0 22.50  3003.87500  3003.93750  3.000   15 1
1940 03 23 00.0 01.50  3004.00000  3004.06250  1.000    4 1
1940 03 23 03.0 04.50  3004.12500  3004.18750  2.667   12 1
1940 03 23 06.0 07.50  3004.25000  3004.31250  5.000   48 1
1940 03 23 09.0 10.50  3004.37500  3004.43750  6.000   80 1
1940 03 23 12.0 13.50  3004.50000  3004.56250  4.000   27 1
1940 03 23 15.0 16.50  3004.62500  3004.68750  4.333   32 1
1940 03 23 18.0 19.50  3004.75000  3004.81250  5.000   48 1
1940 03 23 21.0 22.50  3004.87500  3004.93750  7.333  154 1
1940 03 24 00.0 01.50  3005.00000  3005.06250  6.333   94 1
1940 03 24 03.0 04.50  3005.12500  3005.18750  6.000   80 1
1940 03 24 06.0 07.50  3005.25000  3005.31250  5.000   48 1
1940 03 24 09.0 10.50  3005.37500  3005.43750  4.333   32 1
1940 03 24 12.0 13.50  3005.50000  3005.56250  8.000  207 1
1940 03 24 15.0 16.50  3005.62500  3005.68750  9.000  400 1
1940 03 24 18.0 19.50  3005.75000  3005.81250  9.000  400 1
1940 03 24 21.0 22.50  3005.87500  3005.93750  8.333  236 1
